fu3Column	fu2Column	Instrument	fu3Core
id	User.code	ALL	ALL
ipaddr	DELETE	ALL	ALL
datestamp	Completed.Timestamp	ALL	ALL
submitdate	Completed	ALL	ALL
startlanguage	Language	ALL	ALL
IdCheckGender	id_check_gender	ALL	ALL
IdCheckDob	id_check_dob	ALL	ALL
TS1	ts_1	ALL	ALL
ScidCannabisA32	SCID_A3_2_cannabis	IMGN_ESPAD	1
ScidCannabisA33	SCID_A3_3_cannabis	IMGN_ESPAD	1
ScidCannabisA34	SCID_A3_4_cannabis	IMGN_ESPAD	1
ScidCannabisA35	SCID_A3_5_cannabis	IMGN_ESPAD	1
ScidCannabisA4ABCD1	SCID_A4ABCD_1_cannabis	IMGN_ESPAD	1
ScidCannabisA4ABCD2	SCID_A4ABCD_2_cannabis	IMGN_ESPAD	1
ScidCannabisA4ABCD3	SCID_A4ABCD_3_cannabis	IMGN_ESPAD	1
ScidCannabisA4ABCD4	SCID_A4ABCD_4_cannabis	IMGN_ESPAD	1
ScidCannabisA4ABCD5	SCID_A4ABCD_5_cannabis	IMGN_ESPAD	1
ScidCannabisD1AB1	SCID_D1AB_1_cannabis	IMGN_ESPAD	1
ScidCannabisD1AB2	SCID_D1AB_2_cannabis	IMGN_ESPAD	1
ScidCannabisD1AB3	SCID_D1AB_3_cannabis	IMGN_ESPAD	1
ScidCannabisD2A1	SCID_D2A_1_cannabis	IMGN_ESPAD	1
ScidCannabisD2A2.AllThatApply	SCID_D2A_2_cannabis	IMGN_ESPAD	1
ScidCannabisD2B	SCID_D2B_cannabis	IMGN_ESPAD	1
ScidCannabisD3AB	SCID_D3AB_cannabis	IMGN_ESPAD	1
ScidCannabisD4AB1	SCID_D4AB_1_cannabis	IMGN_ESPAD	1
ScidCannabisD4AB2	SCID_D4AB_2_cannabis	IMGN_ESPAD	1
ScidCannabisD4AB3	SCID_D4AB_3_cannabis	IMGN_ESPAD	1
ScidCannabisD4AB4	SCID_D4AB_4_cannabis	IMGN_ESPAD	1
ScidCannabisD4AB5	SCID_D4AB_5_cannabis	IMGN_ESPAD	1
ScidCannabisD4AB6	SCID_D4AB_6_cannabis	IMGN_ESPAD	1
ScidCannabisD4AB7	SCID_D4AB_7_cannabis	IMGN_ESPAD	1
ScidCannabisD51	SCID_D5_1_cannabis	IMGN_ESPAD	1
ScidCannabisD52	SCID_D5_2_cannabis	IMGN_ESPAD	1
ScidCannabisD6	SCID_D6_cannabis	IMGN_ESPAD	1
